timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628490326870,99795,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490326870,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490327870,73675,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490327870,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490327870,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490328870,73746,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490328870,99632,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490328870,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490330039,73868,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490330039,99651,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490330039,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490331040,73880,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490331040,99370,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490331040,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490332378,73792,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490332378,99843,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490332378,1141000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490333379,73868,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490333379,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490333379,679000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490334379,73925,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490334379,99801,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490334379,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490335473,73917,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490335473,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490335473,8386000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490336474,73987,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490336474,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490336474,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490337474,73926,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490337474,99793,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490337474,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490338475,74117,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490338475,99633,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490338475,1141000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
